key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
k_需;kanji;需;demand;;じゅ;;onyomi;;38
k_却;kanji;却;contrary;;きゃく;かえって;onyomi;;38
k_慮;kanji;慮;consider;;りょ;おもんぱく, おもんぱか;onyomi;;38
k_懸;kanji;懸;suspend;;けん;か;onyomi;;38
k_贈;kanji;贈;presents;;ぞう;おく;onyomi;;38
k_鈴;kanji;鈴;buzzer, small bell;;りん;すず;onyomi;;39
k_秒;kanji;秒;second;;びょう;;onyomi;;11
k_壁;kanji;壁;wall;;へき;かべ;kunyomi;;39
k_圏;kanji;圏;range, sphere;;けん;;onyomi;;39
k_項;kanji;項;paragraph;;こう;;onyomi;;39
k_鋼;kanji;鋼;steel;;こう;はがね;onyomi;;39
k_排;kanji;排;reject, refuse;;はい;;onyomi;;40
k_茂;kanji;茂;luxuriant;;も;しげ;onyomi;;40
k_遜;kanji;遜;humble;;そん;したが;onyomi;;41
k_至;kanji;至;attain;;し;いた;onyomi;;41
k_哲;kanji;哲;philosophy;;てつ;;onyomi;;42
k_斎;kanji;斎;purification;;さい;いつ;onyomi;;42
k_潟;kanji;潟;lagoon;;せき;かた;kunyomi;;42
k_飛;kanji;飛;fly;;ひ;と;onyomi;;20
k_焦;kanji;焦;char;;しょう;こ, あせ;onyomi;;42
k_紛;kanji;紛;distract;;ふん;まぎ, まぐ;onyomi;;42
k_襲;kanji;襲;attack;;しゅう;おそ;onyomi;;43
k_朗;kanji;朗;bright;;ろう;ほが;onyomi;;43
k_翼;kanji;翼;wing;;よく;つばさ;onyomi;;44
k_謎;kanji;謎;riddle;;;なぞ;kunyomi;;44
k_涙;kanji;涙;teardrop;;るい;なみだ;onyomi;;44
k_磨;kanji;磨;polish;;ま;みが;kunyomi;;45
k_菌;kanji;菌;bacteria;;きん;;onyomi;;45
k_鍵;kanji;鍵;key;;けん;かぎ;kunyomi;;46
k_癖;kanji;癖;habit;;へき;くせ;kunyomi;;46
k_畳;kanji;畳;tatami mat;;じょう;たたみ;onyomi;;47
k_瞭;kanji;瞭;clear;;りょう;;onyomi;;47
k_貼;kanji;貼;paste;;ちょう;は;kunyomi;;48
k_尼;kanji;尼;nun;;に;あま;onyomi;;49
k_劣;kanji;劣;inferiority;;れつ;おと;onyomi;;49
k_峰;kanji;峰;summit;;ほう;みね;onyomi;;50
k_邪;kanji;邪;wicked;;じゃ;よこし;onyomi;;50
k_堤;kanji;堤;embankment;;てい;つつみ;onyomi;;50
k_伯;kanji;伯;chief;;はく, お;;onyomi;;50
k_把;kanji;把;bundle, grasp;;は, わ;;onyomi;;50
k_孔;kanji;孔;cavity, hole;;こう;あな;onyomi;;46
k_偉;kanji;偉;greatness;;い;えら;onyomi;;51
k_頂;kanji;頂;summit, humbly;;ちょう;いただき, いただ;onyomi;;51
k_召;kanji;召;call, eat;;しょう;め;onyomi;;51
k_沸;kanji;沸;boil;;ふつ;わ;onyomi;;51
k_瓶;kanji;瓶;bottle, jar;;びん;かめ;onyomi;;51
k_肯;kanji;肯;agreement, consent;;こう;がえんじ;onyomi;;51
k_脂;kanji;脂;fat;;し;あぶら;onyomi;;51
k_膚;kanji;膚;skin;;ふ;はだ;onyomi;;51
k_軒;kanji;軒;house counter, eaves;;けん;のき;onyomi;;51
k_軟;kanji;軟;soft;;なん;やわ;onyomi;;51
k_隅;kanji;隅;corner;;ぐう;すみ;kunyomi;;51
k_隻;kanji;隻;ship counter;;せき;;onyomi;;51
k_郡;kanji;郡;county, district;;ぐん;こおり;onyomi;;51
k_釈;kanji;釈;explanation;;しゃく, せき;す, とく, ゆる;onyomi;;51
k_媛;kanji;媛;princess, beautiful woman;;えん;ひめ;kunyomi;;51
k_貞;kanji;貞;chastity;;てい;さだ;onyomi;;51
k_苗;kanji;苗;seedling, sapling;;みょう, びょう;なえ, なわ;onyomi;;51
k_渦;kanji;渦;whirlpool;;か;うず;onyomi;;51
k_慈;kanji;慈;mercy;;じ;いつく;onyomi;;51
k_襟;kanji;襟;collar;;きん;えり;kunyomi;;51
k_聡;kanji;聡;wise;;そう;さと, みみざと;onyomi;;51
k_浦;kanji;浦;bay;;ほ;うら;kunyomi;;51
k_陥;kanji;陥;cave in;;かん;おちい, おとしい;onyomi;;52
k_貫;kanji;貫;pierce, sushi counter;;かん;つらぬ, ぬき, ぬ;onyomi;;52
k_鎖;kanji;鎖;chain;;さ;くさり, とざ;onyomi;;52
k_牲;kanji;牲;offering;;せい;;onyomi;;52
k_秩;kanji;秩;order, regularity;;ちつ;;onyomi;;52
k_須;kanji;須;necessary;;す, しゅ;すべから, すべし, ひげ, まつ, もち, もと;onyomi;;52
k_偏;kanji;偏;biased;;へん;かたよ;onyomi;;52
k_遇;kanji;遇;treatment;;ぐう;あ;onyomi;;52
k_慢;kanji;慢;ridicule, laziness;;まん;;onyomi;;52
k_綾;kanji;綾;design;;りん;あや;onyomi;;52
k_第;kanji;第;ordinal number prefix, ordinal prefix, number;;だい;;onyomi;;12
k_陣;kanji;陣;army base;;じん;;onyomi;;37
k_悩;kanji;悩;worry;;のう;なや;kunyomi;;27
k_嬢;kanji;嬢;miss;;じょう;むすめ;onyomi;;45
k_鳩;kanji;鳩;dove, pigeon;;く;はと;kunyomi;;46
k_婆;kanji;婆;old woman;;ば;ばあ;onyomi;;47
k_財;kanji;財;wealth;;さい, ざい;;onyomi;;19
k_秀;kanji;秀;excel;;しゅう;ひい;onyomi;;23
k_伴;kanji;伴;accompany;;はん;ともな;onyomi;;38
k_隼;kanji;隼;falcon;;しゅん, じゅん;はやぶさ;kunyomi;;52
k_輔;kanji;輔;help;;ふ, ほ;たす;nanori;;52
k_浄;kanji;浄;cleanse, purify;;じょう, せい;きよ;onyomi;;53
k_稿;kanji;稿;draft;;こう;したがき, わら;onyomi;;53
k_騰;kanji;騰;inflation;;とう;あが, のぼ;onyomi;;53
k_緯;kanji;緯;latitude;;い;ぬき, よこいと;onyomi;;53
k_披;kanji;披;expose;;ひ;;onyomi;;53
k_錦;kanji;錦;brocade;;きん;にしき;kunyomi;;53
k_繊;kanji;繊;fiber, slender;;せん;;onyomi;;53
k_諭;kanji;諭;admonish;;ゆ;さと;onyomi;;53
k_虐;kanji;虐;oppress;;ぎゃく;しいた;onyomi;;53
k_徐;kanji;徐;gently, gentle;;じょ;おもむ;onyomi;;53
k_戴;kanji;戴;receive;;たい;いただ;onyomi;;53
k_曙;kanji;曙;dawn;;しょ;あけぼの;kunyomi;;53
k_胡;kanji;胡;barbarian;;こ, う, ご;なんぞ;onyomi;;53
k_瓜;kanji;瓜;melon;;か, け;うり;onyomi;;53
k_駿;kanji;駿;speed;;しゅん, すん;すぐ;onyomi;;53
k_諒;kanji;諒;comprehend, reality;;りょう;あきら, まことに;onyomi;;53
k_莉;kanji;莉;jasmine;;り, れい, らい;;onyomi;;53
k_鯨;kanji;鯨;whale;;げい;くじら;onyomi;;54
k_拐;kanji;拐;kidnap;;かい;;onyomi;;54
k_冠;kanji;冠;crown, cap;;かん;かんむり;onyomi;;54
k_酬;kanji;酬;repay;;しゅう, しゅ, とう;むく;onyomi;;54
k_卸;kanji;卸;wholesale;;しゃ;おろし, おろ;kunyomi;;54
k_逸;kanji;逸;deviate, elude;;いつ;そ, はぐ;onyomi;;54
k_尚;kanji;尚;furthermore, esteem;;しょう;なお;onyomi;;54
k_顕;kanji;顕;appear, exist;;けん;あきらか, あらわ;onyomi;;54
k_践;kanji;践;practice, trample;;せん;ふ;onyomi;;54
k_呈;kanji;呈;present, display;;てい;;onyomi;;54
k_疎;kanji;疎;neglect, sparse;;そ, しょ;うと, まば;onyomi;;54
k_酷;kanji;酷;cruel, unjust;;こく;ひど;onyomi;;54
k_叙;kanji;叙;describe;;じょ;つい, ついで;onyomi;;54
k_痴;kanji;痴;stupid;;ち;おろか, し;onyomi;;54
k_傲;kanji;傲;proud;;ごう;あなど, おご;onyomi;;54
k_阿;kanji;阿;flatter;;あ, お;おもね, くま;onyomi;;54
k_茜;kanji;茜;red dye;;せん;あかね;kunyomi;;54
k_蜂;kanji;蜂;bee;;ほう;はち;kunyomi;;41
k_帝;kanji;帝;sovereign;;てい;みかど;onyomi;;46
k_堰;kanji;堰;dam;;えん;せき;kunyomi;;50
k_栞;kanji;栞;bookmark;;かん;しおり;kunyomi;;54
k_伏;kanji;伏;bow, lay;;ふく;ふ;onyomi;;55
k_鎮;kanji;鎮;tranquilize;;ちん;おさえ, しず;onyomi;;55
k_赴;kanji;赴;proceed, move on;;ふ;おもむ;onyomi;;55
k_髄;kanji;髄;marrow, bone marrow;;ずい;;onyomi;;55
k_癒;kanji;癒;healing, cure;;ゆ;い, いや;onyomi;;55
k_郭;kanji;郭;enclosure;;かく;くるわ;onyomi;;55
k_虜;kanji;虜;captive;;りょ, ろ;とりく, とりこ;onyomi;;55
k_守;kanji;守;protect;;す, しゅ;まも, もり;onyomi;;16
k_凝;kanji;凝;congeal, freeze, absorbed in;;ぎょう;こ, こご;onyomi;;55
k_脊;kanji;脊;stature, height;;せき;せ, せい;onyomi;;55
k_昌;kanji;昌;prosperous, prosperity;;しょう;さかん;onyomi;;55
k_抹;kanji;抹;erase;;まつ;;onyomi;;55
k_祖;kanji;祖;ancestor;;そ;;onyomi;;32
k_紅;kanji;紅;deep red, crimson;;こう;べに, くれない;onyomi;;34
k_那;kanji;那;what;;な, だ;いかん, なに, なんぞ;onyomi;;55
k_宰;kanji;宰;manager;;さい;;onyomi;;56
k_寂;kanji;寂;lonely;;じゃく, せき;さび, さみ;onyomi;;56
k_凡;kanji;凡;mediocre;;ぼん, はん;おうよ, およ, すべ;onyomi;;56
k_錯;kanji;錯;mixed, confused;;さく, しゃく;;onyomi;;56
k_陵;kanji;陵;mausoleum, tomb;;りょう;みささぎ;onyomi;;56
k_隷;kanji;隷;slave;;れい;;onyomi;;34
k_綱;kanji;綱;cable;;こう;つな;kunyomi;;42
k_窮;kanji;窮;destitute;;きゅう, きょう;きわ;onyomi;;56
k_悦;kanji;悦;delight, joy;;えつ;よろこ;onyomi;;56
k_轄;kanji;轄;control;;かつ;くさび;onyomi;;56
k_糾;kanji;糾;twist;;きゅう;;onyomi;;42
k_咲;kanji;咲;blossom, bloom;;しょう;さ;kunyomi;;48
k_騎;kanji;騎;horse;;き;;onyomi;;48
k_洪;kanji;洪;flood;;こう;;onyomi;;56
k_摂;kanji;摂;in addition;;せつ, しょう;おさ, かね, と;onyomi;;56
k_靖;kanji;靖;peaceful;;じょう, せい;やす;kunyomi;;56
k_嘉;kanji;嘉;esteem, praise;;か;よい, よみ;onyomi;;56
k_搾;kanji;搾;squeeze;;さく;しぼ;onyomi;;56
k_蝶;kanji;蝶;butterfly;;ちょう;;onyomi;;56
k_匠;kanji;匠;artisan;;しょう;たくみ;onyomi;;56
k_遥;kanji;遥;far off, far away;;よう;はる;kunyomi;;56
k_槽;kanji;槽;tank, vat;;そう;ふね;onyomi;;57
k_峡;kanji;峡;ravine;;きょう, こう;はざま;onyomi;;57
k_款;kanji;款;article, sincerity;;かん;;onyomi;;57
k_敢;kanji;敢;daring;;かん;あ;onyomi;;57
k_凸;kanji;凸;convex, uneven;;とつ;でこ;onyomi;;57
k_瑠;kanji;瑠;lapis lazuli;;る, りゅう;;onyomi;;57
k_硫;kanji;硫;sulfur, sulphur;;りゅう;;onyomi;;58
k_享;kanji;享;receive;;きょう, こう;う;onyomi;;58
k_鶏;kanji;鶏;chicken;;けい;とり, にわとり;onyomi;;58
k_嘱;kanji;嘱;request, entrust;;しょく;しょく, たの;onyomi;;58
k_淑;kanji;淑;graceful;;しゅく;しと;onyomi;;58
k_暁;kanji;暁;dawn;;きょう, ぎょう;あかつき, さと;kunyomi;;58
k_傑;kanji;傑;greatness, excellence;;けつ;すぐ;onyomi;;58
k_隠;kanji;隠;hide;;いん;かく;onyomi;;25
k_辛;kanji;辛;spicy;;しん;から, つら;onyomi;;44
k_墜;kanji;墜;crash;;つい;;onyomi;;47
k_鮮;kanji;鮮;fresh;;せん;あざ;onyomi;;25
k_範;kanji;範;example;;はん;;onyomi;;42
k_脅;kanji;脅;threaten;;きょう;おど, おびや;onyomi;;48
k_刷;kanji;刷;printing;;さつ;す;onyomi;;43
k_掛;kanji;掛;hang;;かい, けい;か;kunyomi;;25
k_降;kanji;降;descend;;こう;お, ふ;onyomi;;34
k_椅;kanji;椅;chair;;い;;onyomi;;46
k_歓;kanji;歓;delight;;かん;;onyomi;;34
k_遅;kanji;遅;slow;;ち;おそ, おく;onyomi;;35
k_避;kanji;避;dodge, avoid;;ひ;さ, よ;onyomi;;38
k_闇;kanji;闇;darkness;;あん, おん;やみ;kunyomi;;48
k_輝;kanji;輝;radiance;;き;かがや;onyomi;;48
k_斬;kanji;斬;slice;;ざん;き;onyomi;;46
k_俗;kanji;俗;vulgar;;ぞく;;onyomi;;49
k_欲;kanji;欲;want;;よく;ほ;onyomi;;32
k_棚;kanji;棚;shelf;;ほう;たな;kunyomi;;44
k_碁;kanji;碁;go;;ご;;onyomi;;46
k_丼;kanji;丼;rice bowl;;どん;どんぶり;onyomi;;34
k_矛;kanji;矛;spear;;む;ほこ;onyomi;;45
k_献;kanji;献;offer;;けん, こん;たてまつ;onyomi;;36
k_撲;kanji;撲;slap;;ぼく;;onyomi;;43
k_獲;kanji;獲;seize;;かく;え;onyomi;;40
k_設;kanji;設;establish;;せつ;もう;onyomi;;21
k_遺;kanji;遺;leave behind;;い;のこ;onyomi;;36
k_墨;kanji;墨;black ink, ink;;;すみ;kunyomi;;46
k_貿;kanji;貿;trade;;ぼう;;onyomi;;36
k_脚;kanji;脚;leg;;きゃく;あし;onyomi;;45
k_迅;kanji;迅;swift;;じん;;onyomi;;48
k_露;kanji;露;expose, dew;;ろ, ろう;つゆ;onyomi;;43
k_己;kanji;己;oneself, self;;こ, き;おのれ;onyomi;;35
k_恨;kanji;恨;grudge;;こん;うら;onyomi;;47
k_誠;kanji;誠;sincerity;;せい;まこと;onyomi;;41
k_鍛;kanji;鍛;forge;;たん;きた;onyomi;;46
k_湿;kanji;湿;damp;;しつ;しめ;onyomi;;45
k_揚;kanji;揚;hoist;;よう;あ;onyomi;;42
k_傾;kanji;傾;lean;;けい;かたむ;onyomi;;38
k_津;kanji;津;haven;;しん;つ;kunyomi;;36
k_誰;kanji;誰;who;;;だれ;kunyomi;;43
k_措;kanji;措;set aside;;そ;;onyomi;;41
k_隔;kanji;隔;isolate;;かく;へだ;onyomi;;49
k_刈;kanji;刈;prune;;;か;kunyomi;;49
k_銘;kanji;銘;inscription;;めい;;onyomi;;50
k_克;kanji;克;overcome;;こく;;onyomi;;42
k_距;kanji;距;distance;;きょ;;onyomi;;43
k_陛;kanji;陛;highness;;へい;;onyomi;;49
k_臓;kanji;臓;internal organs;;ぞう;;onyomi;;34
k_邦;kanji;邦;home country;;ほう;くに;onyomi;;39
k_挑;kanji;挑;challenge;;ちょう;いど;onyomi;;42
k_握;kanji;握;grip;;あく;にぎ;onyomi;;42
k_及;kanji;及;reach;;きゅう;およ;onyomi;;36
k_影;kanji;影;shadow;;えい;かげ;onyomi;;25
k_袋;kanji;袋;sack;;たい;ふくろ;kunyomi;;42
k_曇;kanji;曇;cloudy;;;くも;kunyomi;;45
k_忠;kanji;忠;loyalty;;ちゅう;;onyomi;;33
k_刃;kanji;刃;blade;;じん, にん;は;kunyomi;;44
k_訟;kanji;訟;lawsuit;;しょう;;onyomi;;25
k_柄;kanji;柄;pattern;;へい;がら;kunyomi;;42
k_掘;kanji;掘;dig;;くつ;ほ;onyomi;;42
k_綿;kanji;綿;cotton;;めん;わた;onyomi;;46
k_判;kanji;判;judge;;はん;;onyomi;;21
k_糖;kanji;糖;sugar;;とう;;onyomi;;33
k_盤;kanji;盤;tray, platter, board;;ばん;;onyomi;;38
k_欺;kanji;欺;deceit;;ぎ;あざむ;onyomi;;47
k_鰐;kanji;鰐;alligator;;;わに;kunyomi;;50
k_環;kanji;環;loop;;かん;;onyomi;;24
k_跳;kanji;跳;hop;;ちょう;と, は;onyomi;;37
k_敬;kanji;敬;respect;;けい;うやま;onyomi;;33
k_幹;kanji;幹;tree trunk;;かん;みき;onyomi;;23
k_勢;kanji;勢;force;;せい, せ;いきお;onyomi;;22
k_妃;kanji;妃;princess, queen;;ひ;;onyomi;;49
k_舎;kanji;舎;cottage;;しゃ;;onyomi;;35
k_審;kanji;審;judge;;しん;;onyomi;;21
k_創;kanji;創;create;;そう;;onyomi;;26
k_裸;kanji;裸;naked, nude;;ら;はだか;onyomi;;45
k_滞;kanji;滞;stagnate;;たい;とどこお;onyomi;;35
k_復;kanji;復;restore;;ふく;;onyomi;;26
k_奨;kanji;奨;encourage;;しょう;;onyomi;;49
k_晶;kanji;晶;crystal;;しょう;;onyomi;;50
k_患;kanji;患;afflicted;;かん;わずら;onyomi;;37
k_緊;kanji;緊;tense;;きん;;onyomi;;29
k_仰;kanji;仰;look up to;;ぎょう, こう;あお;onyomi;;50
k_償;kanji;償;reparation;;しょう;つぐな;onyomi;;37
k_揺;kanji;揺;shake;;よう;ゆ;onyomi;;42
k_哀;kanji;哀;pathetic;;あい;あわ;onyomi;;47
k_沼;kanji;沼;bog;;しょう;ぬま;kunyomi;;43
k_湾;kanji;湾;gulf;;わん;;onyomi;;37
k_略;kanji;略;abbreviation, abbreviate;;りゃく;;onyomi;;29
k_拘;kanji;拘;arrest;;こう;かか;onyomi;;49
k_収;kanji;収;obtain;;しゅう;おさ;onyomi;;23
k_霜;kanji;霜;frost;;;しも;kunyomi;;48
k_居;kanji;居;alive;;きょ;い;onyomi;;25
k_現;kanji;現;present time, present;;げん;あらわ;onyomi;;23
k_吉;kanji;吉;good luck;;きつ, きち;よし;onyomi;;44
k_芋;kanji;芋;potato;;;いも;kunyomi;;34
k_軸;kanji;軸;axis;;じく;;onyomi;;42
k_巡;kanji;巡;patrol;;じゅん;めぐ;onyomi;;40
k_尿;kanji;尿;urine, pee;;にょう;;onyomi;;55
k_詠;kanji;詠;compose, recite;;えい;よ, うた;onyomi;;59
k_絶;kanji;絶;extinction, die out;;ぜつ;た;onyomi;;28
k_赦;kanji;赦;pardon;;しゃ;;onyomi;;58
k_蔵;kanji;蔵;storehouse;;ぞう;くら;onyomi;;33
k_寧;kanji;寧;rather;;ねい;むし;onyomi;;46
k_囚;kanji;囚;criminal;;しゅう;とら;onyomi;;60
k_蓮;kanji;蓮;lotus;;れん;はす, はちす;onyomi;;51
k_酌;kanji;酌;serve;;しゃく;く;onyomi;;58
k_帆;kanji;帆;sail;;はん;ほ;onyomi;;58
k_柴;kanji;柴;brushwood, firewood;;さい, し;しば;kunyomi;;56
k_弊;kanji;弊;evil;;へい;;onyomi;;56
k_瑞;kanji;瑞;congratulations;;すい, ずい;みず, しるし;kunyomi;;58
k_湧;kanji;湧;well, boil;;ゆう, ゆ, よう;わ;onyomi;;60
k_英;kanji;英;england, english;;えい;;onyomi;;15
k_軍;kanji;軍;army;;ぐん;;onyomi;;15
k_搬;kanji;搬;transport;;はん;;onyomi;;50
k_較;kanji;較;contrast, compare;;かく, こう;;onyomi;;26
k_随;kanji;随;all;;ずい;したが, まにま;onyomi;;53
k_憤;kanji;憤;resent;;ふん;いきどお;onyomi;;58
k_擁;kanji;擁;embrace;;よう;;onyomi;;52
k_漏;kanji;漏;leak;;ろう;も;onyomi;;30
k_濯;kanji;濯;wash;;たく;すす, ゆす, そそぐ;onyomi;;51
k_藍;kanji;藍;indigo;;らん;あい;kunyomi;;60
k_一;kanji;一;one;;いち, いつ;ひと;onyomi;;1
k_魂;kanji;魂;soul, spirit;;こん;たましい;onyomi;;45
k_耕;kanji;耕;plow;;こう;たがや;onyomi;;51
k_栽;kanji;栽;planting;;さい;;onyomi;;54
k_九;kanji;九;nine;;く, きゅう;ここの;onyomi;;1
k_含;kanji;含;include;;がん;ふく;onyomi;;25
k_人;kanji;人;person;;にん, じん;ひと, と;onyomi;;1
k_八;kanji;八;eight;;はち;や, よう;onyomi;;1
k_穂;kanji;穂;head of plant, ear of plant;;すい;ほ;kunyomi;;46
k_偶;kanji;偶;accidentally;;ぐう;たま;onyomi;;50
k_力;kanji;力;power, strength;;りょく, りき;ちから;onyomi;;1
k_射;kanji;射;shoot;;しゃ;い, さ, う;onyomi;;34
k_十;kanji;十;ten;;じゅう;とお;onyomi;;1
k_輸;kanji;輸;transport;;ゆ;;onyomi;;24
k_鉛;kanji;鉛;lead;;えん;なまり;onyomi;;26
k_据;kanji;据;install;;きょ;す;kunyomi;;53
k_飯;kanji;飯;meal, food;;はん;めし;onyomi;;15
k_糧;kanji;糧;provisions;;りょう, ろう;かて;onyomi;;52
k_仏;kanji;仏;buddha;;ぶつ;ほとけ;onyomi;;15
k_遮;kanji;遮;intercept;;しゃ;さえぎ;onyomi;;57
k_眺;kanji;眺;stare;;ちょう;なが;onyomi;;45
k_衡;kanji;衡;equilibrium;;こう;;onyomi;;57
k_拠;kanji;拠;based on;;きょ, こ;よ;onyomi;;41
k_帳;kanji;帳;notebook;;ちょう;とばり;onyomi;;48
k_故;kanji;故;circumstance, reason;;こ;ゆえ;onyomi;;26
k_喝;kanji;喝;scold;;かつ;;onyomi;;57
k_挙;kanji;挙;raise;;きょ;あ;onyomi;;21
k_唄;kanji;唄;shamisen song;;ばい;うた;kunyomi;;60
k_築;kanji;築;construct, build;;ちく;きず;onyomi;;15
k_担;kanji;担;carry, bear;;たん;にな, かつ;onyomi;;24
k_涯;kanji;涯;horizon;;がい;はて;onyomi;;50
k_晩;kanji;晩;night, evening;;ばん;;onyomi;;15
k_与;kanji;与;give;;よ;あた;onyomi;;25
k_炉;kanji;炉;furnace;;ろ;いろり;onyomi;;43
k_猫;kanji;猫;cat;;;ねこ;kunyomi;;15
k_孝;kanji;孝;filial piety;;こう;;onyomi;;40
k_下;kanji;下;below, down, under, beneath;;か, げ;した, さ, くだ, お;onyomi;;1
k_拡;kanji;拡;extend;;かく;ひろ;onyomi;;33
k_俊;kanji;俊;genius;;しゅん;;onyomi;;40
k_触;kanji;触;touch;;しょく;さわ, ふ;onyomi;;24
k_激;kanji;激;fierce, violent;;げき;はげ;onyomi;;26
k_娠;kanji;娠;pregnant;;しん;;onyomi;;38
k_瞳;kanji;瞳;pupil;;とう, どう;ひとみ;onyomi;;46
k_爽;kanji;爽;refreshing;;そう;さわ;kunyomi;;47
k_剛;kanji;剛;sturdy;;ごう;;onyomi;;49
k_屯;kanji;屯;barracks;;とん;;onyomi;;59
k_候;kanji;候;climate, weather, candidate;;こう;;onyomi;;25
k_探;kanji;探;look for, search for;;たん;さが, さぐ;onyomi;;31
k_贅;kanji;贅;luxury;;ぜい;いぼ;onyomi;;23
k_劇;kanji;劇;drama;;げき;;onyomi;;17
k_呉;kanji;呉;give;;ご;くれ, く;onyomi;;56
k_葬;kanji;葬;burial;;そう;ほうむ;onyomi;;37
k_促;kanji;促;urge;;そく;うなが;onyomi;;29
k_捕;kanji;捕;catch;;ほ;つか, とら;onyomi;;25
k_炭;kanji;炭;charcoal;;たん;すみ;onyomi;;41
k_荘;kanji;荘;villa;;そう, しょう, ちゃん;あごそ, ほうき;onyomi;;54
k_大;kanji;大;big, large;;たい, だい;おお;onyomi;;1
k_尺;kanji;尺;shaku, japanese foot;;しゃく;;onyomi;;47
k_幣;kanji;幣;cash;;へい;;onyomi;;47
k_褒;kanji;褒;praise;;ほう;ほ;onyomi;;40
k_訂;kanji;訂;revise;;てい;;onyomi;;50
k_女;kanji;女;woman;;じょ;おんな, め;onyomi;;1
k_川;kanji;川;river;;せん;かわ;kunyomi;;1
k_工;kanji;工;construction, industry;;こう, く;;onyomi;;1
k_勤;kanji;勤;work;;きん;つと;onyomi;;34
k_園;kanji;園;garden, park;;えん;その;onyomi;;16
k_簿;kanji;簿;record book;;ぼ;;onyomi;;50
k_朱;kanji;朱;vermillion;;しゅ;あけ;onyomi;;44
k_責;kanji;責;blame;;せき;せ;onyomi;;21
k_賃;kanji;賃;rent;;ちん;;onyomi;;33
k_題;kanji;題;topic;;だい;;onyomi;;13
k_芳;kanji;芳;perfume;;ほう;かんば;onyomi;;52
k_果;kanji;果;fruit;;か;くだ, は;onyomi;;17
k_姻;kanji;姻;marry;;いん;;onyomi;;59
k_継;kanji;継;inherit;;けい;つ;onyomi;;36
k_栄;kanji;栄;prosper, flourish;;えい;さか;onyomi;;17
k_施;kanji;施;carry out;;し;ほどこ;onyomi;;23
k_刀;kanji;刀;sword, katana;;とう;かたな;onyomi;;2
k_香;kanji;香;fragrance;;こう, きょう;かお, か;onyomi;;37
k_土;kanji;土;dirt, soil, earth, ground;;ど, と;つち;onyomi;;2
k_奪;kanji;奪;rob;;だつ;うば;kunyomi;;39
k_刺;kanji;刺;stab;;し;さ;onyomi;;26
k_量;kanji;量;quantity, amount;;りょう;はか;onyomi;;24
k_喪;kanji;喪;mourning;;そう;も;onyomi;;42
k_駄;kanji;駄;burdensome;;だ, た;;onyomi;;50
k_子;kanji;子;child, kid;;し, す;こ;onyomi;;2
k_経;kanji;経;passage of time, pass through, manage;;けい;た, へ;onyomi;;20
k_犬;kanji;犬;dog;;けん;いぬ;kunyomi;;2
k_枝;kanji;枝;branch;;し;えだ;onyomi;;34
k_藻;kanji;藻;seaweed;;そう;も;onyomi;;60
k_去;kanji;去;past;;きょ, こ;さ;onyomi;;4
k_小;kanji;小;small, little;;しょう;ちい, こ, お;onyomi;;2
k_申;kanji;申;say humbly, say, humbly say;;しん;もう;kunyomi;;4
k_真;kanji;真;reality;;しん;ま;onyomi;;16
k_無;kanji;無;nothing;;む, ぶ;な;onyomi;;17
k_梅;kanji;梅;ume, japanese plum;;ばい;うめ;kunyomi;;17
k_疫;kanji;疫;epidemic;;えき;;onyomi;;50
k_紳;kanji;紳;gentleman;;しん;;onyomi;;56
k_升;kanji;升;grid, measure;;しょう;ます;kunyomi;;60
k_帥;kanji;帥;commander;;すい;;onyomi;;53
k_放;kanji;放;release;;ほう;はな, ほう;onyomi;;11
k_抜;kanji;抜;extract;;ばつ, はつ, はい;ぬ;kunyomi;;25
k_捨;kanji;捨;throw away;;しゃ;す;kunyomi;;32
k_堕;kanji;堕;degenerate;;だ;お, くず;onyomi;;57
k_俸;kanji;俸;salary;;ほう;;onyomi;;57
k_蒼;kanji;蒼;pale, blue;;そう;あお;onyomi;;57
k_兆;kanji;兆;omen;;ちょう;きざ;onyomi;;37
k_幽;kanji;幽;secluded;;ゆう;;onyomi;;46
k_漁;kanji;漁;fishing;;ぎょ, りょう;あさ;onyomi;;37
k_呂;kanji;呂;bath;;ろ, りょ;せぼね;onyomi;;52
k_胎;kanji;胎;womb, uterus;;たい;;onyomi;;57
k_鐘;kanji;鐘;bell;;しょう;かね;onyomi;;45
k_凛;kanji;凛;cold;;りん;きびし;onyomi;;56
k_孤;kanji;孤;orphan, alone;;こ;;onyomi;;52
k_丁;kanji;丁;street;;ちょう, てい;;onyomi;;2
